 
dfr | 0 | 1 | -1
Hnk | 1 | 0 | 2
dfr | 0 | 2 | -2
Hnk | 2 | 0 | 4
dfr | 0 | 3 | -3
Hnk | 3 | 0 | 6
dfr | 0 | 4 | -4
Hnk | 4 | 0 | 8
dfr | 0 | 5 | -5
Hnk | 5 | 0 | 10
dfr | 0 | 6 | -6
Hnk | 6 | 0 | 12
dfr | 0 | 7 | -7
Hnk | 7 | 0 | 14
dfr | 0 | 8 | -8
Hnk | 8 | 0 | 16
dfr | 0 | 9 | -9
Hnk | 9 | 0 | 18
dfr | 0 | 10 | -10
Hnk | 10 | 0 | 20
dfr | 0 | 11 | -11
Hnk | 11 | 0 | 22
dfr | 0 | 12 | -12
Hnk | 12 | 0 | 24
dfr | 0 | 13 | -13
Hnk | 13 | 0 | 26
dfr | 0 | 14 | -14
Hnk | 14 | 0 | 28
dfr | 0 | 15 | -15
Hnk | 15 | 0 | 30
dfr | 0 | 16 | -16
Hnk | 16 | 0 | 32
dfr | 0 | 17 | -17
Hnk | 17 | 0 | 34
dfr | 0 | 18 | -18
Hnk | 18 | 0 | 36
dfr | 0 | 19 | -19
Hnk | 19 | 0 | 38
dfr | 0 | 20 | -20
Hnk | 20 | 0 | 40
dfr | 0 | 21 | -21
Hnk | 21 | 0 | 42
